Concessionaria;mes_ano;Sentido;Praca;Categoria;Tipo_de_veiculo;Volume_total
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;12
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;27
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;10
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;23
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;11
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;24
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;9
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 5;Passeio;19
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2041
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1434
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2016
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1417
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2740
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1925
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2595
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1824
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2386
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1676
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1758
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1235
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1990
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1398
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2103
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1477
12.Rodovia do Aço;Sep-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2026
12.Rodovia do Aço;Sep-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1424
12.Rodovia do Aço;Oct-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2250
12.Rodovia do Aço;Oct-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1581
12.Rodovia do Aço;Nov-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2317
12.Rodovia do Aço;Nov-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1628
12.Rodovia do Aço;Dec-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;2424
12.Rodovia do Aço;Dec-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 6;Comercial;1704
12.Rodovia do Aço;Jan-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9542
12.Rodovia do Aço;Jan-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9516
12.Rodovia do Aço;Feb-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9212
12.Rodovia do Aço;Feb-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;9188
12.Rodovia do Aço;Mar-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;11420
12.Rodovia do Aço;Mar-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;11389
12.Rodovia do Aço;Apr-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;11298
12.Rodovia do Aço;Apr-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;11269
12.Rodovia do Aço;May-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;12360
12.Rodovia do Aço;May-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;12328
12.Rodovia do Aço;Jun-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10436
12.Rodovia do Aço;Jun-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10408
12.Rodovia do Aço;Jul-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10430
12.Rodovia do Aço;Jul-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10402
12.Rodovia do Aço;Aug-10;Norte;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10205
12.Rodovia do Aço;Aug-10;Sul;Praça 01  BR-393/RJ km 125,00;Categoria 7;Comercial;10179
